Indice,Numero de clusters,sp,sr,D.V.Index,evaluacion,defecto
266,211,7.7432145621599755,15.125929264844586,70308.50719985472,3397.39785664164,Rolled
267,177,33.586157114048355,3.4914278455743255,187023.97451049427,3099.7768739735407,Rolled
268,217,11.99201330041477,17.514560785315076,258179.99998109145,3901.229845337904,Inclusion
269,229,2.7803500206097733,32.67556271018465,339560.09191216563,4207.4873911841905,Scratches
270,189,31.816970564153216,9.945584226639586,297944.6043858798,3436.9053885883177,Rolled
271,211,3.487757663642019,33.126116060752125,218801.9425076046,3742.9851303814025,Rolled
272,199,4.7275597005395475,19.157975357363945,362687.8526241625,3675.20541127511,Crazing
273,211,14.267353633369124,10.687930290541633,94898.23303952477,3488.6937506006993,Inclusion
274,237,2.3572992608220638,8.841341261656627,283145.25581992784,4292.35033111174,Scratches
275,218,17.458178841788357,24.11602545151003,149271.53943586873,3746.8923522592568,Patches
276,199,42.87080242883193,40.72793996208029,404973.9866917155,3706.8664732037437,Patches
277,186,5.50004705397161,30.390347088429227,119156.84645970816,3136.4254319031274,Crazing
278,193,18.861147261788044,19.127749855664998,317612.87982593314,3527.443609198593,Inclusion
279,181,29.7303575455378,8.862887234027568,142359.49930682388,3098.571442131839,Rolled
280,237,3.155411224485192,32.15016721234501,68371.7812555209,3806.4838737071555,Patches
281,220,5.020655896566364,20.746503099132187,158906.14009546125,3801.1193760305778,Patches
282,191,6.899638100862323,26.817724568656818,1405409.209765548,3900.708735982269,Rolled
283,190,17.74712962697203,7.658492505826107,206049.7652539969,3354.000325943443,Rolled
284,218,40.36668759893176,9.158704183418893,81684.69185369207,3557.275628964712,Patches
285,184,1.4793684517779186,43.180503755888616,397777.4559695897,3422.694765830455,Scratches
286,239,1.0171765866114884,36.890191140789724,149761.1335442897,4108.9605924959615,Scratches
287,180,56.86211095988491,12.737784301371148,135585.57881800694,3068.7919583105077,Inclusion
288,174,3.3079713236968438,18.262976328635673,109065.9508719686,2911.8623781415017,Pitted
289,219,32.09419275181661,11.302783376717823,643471.4085255483,4225.718118053661,Pitted
